frame,marker,gap_start,gap_end,left_frame,right_frame,gap_len,avg_step,support,mean_error,details,method
2303,RBHD,2303,2304,2302,2305,2,2.224747994815883,2,0.15058070309837035,RFHD:181.8/181.6/err0.2;LFHD:214.6/214.5/err0.1,forward_short_gap_bridge
2304,RBHD,2303,2304,2302,2305,2,2.224747994815883,3,0.2584292364561094,LBHD:114.5/114.8/err0.3;RFHD:181.9/181.6/err0.4;LFHD:214.6/214.5/err0.1,forward_short_gap_bridge
2307,RBHD,2307,2307,2306,2308,1,2.320290975511482,2,0.47370127505524806,RFHD:182.3/181.6/err0.7;LFHD:214.7/214.5/err0.2,forward_short_gap_bridge
2311,RBHD,2311,2311,2310,2312,1,2.467365747160784,3,0.9389242837101364,LBHD:113.5/114.8/err1.3;RFHD:182.8/181.6/err1.3;LFHD:214.8/214.5/err0.3,forward_short_gap_bridge
2313,RBHD,2313,2313,2312,2314,1,2.4244694960245115,2,1.0482979125213063,RFHD:183.2/181.6/err1.6;LFHD:215.0/214.5/err0.5,forward_short_gap_bridge
2315,RBHD,2315,2316,2314,2317,2,2.4729713115311527,3,1.323225980389277,LBHD:113.3/114.8/err1.5;RFHD:183.4/181.6/err1.9;LFHD:215.1/214.5/err0.6,forward_short_gap_bridge
2316,RBHD,2315,2316,2314,2317,2,2.4729713115311527,3,3.3682174349394387,LBHD:107.3/114.8/err7.5;RFHD:183.5/181.6/err2.0;LFHD:215.1/214.5/err0.6,forward_short_gap_bridge
2595,RBHD,2595,2595,2594,2596,1,2.526752164636383,2,0.654109973864081,RFHD:182.3/181.6/err0.7;LFHD:215.1/214.5/err0.6,forward_short_gap_bridge
2603,RBHD,2603,2603,2602,2604,1,3.329495533163988,2,0.4569596049966407,RFHD:182.0/181.6/err0.4;LFHD:215.0/214.5/err0.5,forward_short_gap_bridge
2303,LBHD,2303,2303,2302,2304,1,2.310774905223678,3,0.10003868147448713,RBHD:114.6/114.8/err0.2;RFHD:209.4/209.4/err0.0;LFHD:170.2/170.3/err0.1,forward_short_gap_bridge
2306,LBHD,2306,2307,2305,2308,2,2.2876813975001924,3,0.19648835854716631,RBHD:114.3/114.8/err0.5;RFHD:209.4/209.4/err0.0;LFHD:170.2/170.3/err0.0,forward_short_gap_bridge
2307,LBHD,2306,2307,2305,2308,2,2.2876813975001924,3,0.24440048289312225,RBHD:114.1/114.8/err0.7;RFHD:209.4/209.4/err0.0;LFHD:170.3/170.3/err0.0,forward_short_gap_bridge
2313,LBHD,2313,2313,2312,2314,1,2.2151615818412504,3,0.5517384683693981,RBHD:113.4/114.8/err1.4;RFHD:209.5/209.4/err0.1;LFHD:170.4/170.3/err0.1,forward_short_gap_bridge
2317,LBHD,2317,2317,2316,2318,1,28.105275114610517,3,10.838342631953731,RBHD:107.0/114.8/err7.8;RFHD:217.8/209.4/err8.4;LFHD:186.5/170.3/err16.3,forward_short_gap_bridge
2319,LBHD,2319,2320,2318,2321,2,2.23483102588261,2,24.62623259854817,RFHD:228.6/209.4/err19.2;LFHD:200.3/170.3/err30.1,forward_short_gap_bridge
2320,LBHD,2319,2320,2318,2321,2,2.23483102588261,2,24.29803015498443,RFHD:228.1/209.4/err18.7;LFHD:200.2/170.3/err29.9,forward_short_gap_bridge
2327,LBHD,2327,2327,2326,2328,1,2.364853192120893,2,0.31955690292045347,RFHD:209.7/209.4/err0.2;LFHD:170.7/170.3/err0.4,forward_short_gap_bridge
2329,LBHD,2329,2329,2328,2330,1,2.481806274306441,2,0.7981824688532129,RFHD:210.2/209.4/err0.7;LFHD:171.1/170.3/err0.9,forward_short_gap_bridge
2331,LBHD,2331,2331,2330,2332,1,27.789253007002127,2,10.350138754992443,RFHD:217.0/209.4/err7.5;LFHD:183.4/170.3/err13.2,forward_short_gap_bridge
2333,LBHD,2333,2333,2332,2334,1,28.67297572783135,2,10.08674899245699,RFHD:216.7/209.4/err7.3;LFHD:183.1/170.3/err12.9,forward_short_gap_bridge
2335,LBHD,2335,2335,2334,2336,1,2.3243945536621355,2,0.06752707289822979,RFHD:209.3/209.4/err0.1;LFHD:170.3/170.3/err0.0,forward_short_gap_bridge
2337,LBHD,2337,2337,2336,2338,1,28.881052693499058,2,9.360876499566231,RFHD:215.7/209.4/err6.3;LFHD:182.7/170.3/err12.5,forward_short_gap_bridge
2340,LBHD,2340,2340,2339,2341,1,2.30003736902283,2,0.4676872408188757,RFHD:209.6/209.4/err0.1;LFHD:171.0/170.3/err0.8,forward_short_gap_bridge
2342,LBHD,2342,2342,2341,2343,1,2.2491156028715977,2,0.6411329849582756,RFHD:209.9/209.4/err0.5;LFHD:171.1/170.3/err0.8,forward_short_gap_bridge
2344,LBHD,2344,2344,2343,2345,1,2.320338291609275,2,0.5254227542917675,RFHD:209.9/209.4/err0.5;LFHD:170.8/170.3/err0.6,forward_short_gap_bridge
2346,LBHD,2346,2346,2345,2347,1,25.832365466556954,2,8.61101449274932,RFHD:215.4/209.4/err6.0;LFHD:181.5/170.3/err11.2,forward_short_gap_bridge
2348,LBHD,2348,2348,2347,2349,1,2.6103711461536006,2,20.17509452683278,RFHD:224.3/209.4/err14.8;LFHD:195.8/170.3/err25.5,forward_short_gap_bridge
2350,LBHD,2350,2350,2349,2351,1,2.312680223125957,2,20.363707334815246,RFHD:224.2/209.4/err14.8;LFHD:196.2/170.3/err26.0,forward_short_gap_bridge
2352,LBHD,2352,2352,2351,2353,1,28.098800697523806,2,8.950807562640847,RFHD:215.7/209.4/err6.2;LFHD:181.9/170.3/err11.7,forward_short_gap_bridge
2354,LBHD,2354,2354,2353,2355,1,2.237362004007551,2,0.4029454375618968,RFHD:209.6/209.4/err0.2;LFHD:170.9/170.3/err0.6,forward_short_gap_bridge
2358,LBHD,2358,2358,2357,2359,1,2.1882679107100955,2,0.8969676517020986,RFHD:210.1/209.4/err0.7;LFHD:171.4/170.3/err1.1,forward_short_gap_bridge
2362,LBHD,2362,2362,2361,2363,1,2.1381026228935536,2,0.2651516718796927,RFHD:209.6/209.4/err0.1;LFHD:170.6/170.3/err0.4,forward_short_gap_bridge
2366,LBHD,2366,2366,2365,2367,1,1.96570225800331,2,0.44985478045192906,RFHD:209.7/209.4/err0.2;LFHD:170.9/170.3/err0.7,forward_short_gap_bridge
2369,LBHD,2369,2369,2368,2370,1,1.9647480126542243,2,0.4794141020806393,RFHD:210.0/209.4/err0.5;LFHD:170.7/170.3/err0.4,forward_short_gap_bridge
2374,LBHD,2374,2374,2373,2375,1,2.10548415520089,2,0.393107155825021,RFHD:209.6/209.4/err0.2;LFHD:170.8/170.3/err0.6,forward_short_gap_bridge
2378,LBHD,2378,2378,2377,2379,1,2.2477364819328587,2,0.37839718120895327,RFHD:209.6/209.4/err0.2;LFHD:170.8/170.3/err0.6,forward_short_gap_bridge
