frame,marker,raw,anchor_frame,distance,second_distance,candidate_count,support,mean_error,search_offset,details,method
2305,LBHD,*53,2302,6.797312853127184,,1,3,0.13595215943545233,2,RBHD:114.4/114.8/err0.4;RFHD:209.4/209.4/err0.0;LFHD:170.2/170.3/err0.0,forward_only_radius_rigid_connect
2307,LELA,*54,2302,6.352849915776747,,1,3,0.23390548499330066,4,LSHO:334.9/335.1/err0.3;LUP:187.4/187.6/err0.2;LELB:85.0/84.8/err0.2,forward_only_radius_rigid_connect
2309,LELA,*54,2307,2.935664474869035,,1,3,0.7178581387967805,5,LSHO:335.9/335.1/err0.7;LUP:188.0/187.6/err0.5;LELB:83.8/84.8/err1.0,forward_only_radius_rigid_connect
2309,RBHD,*56,2302,15.937174630612954,,1,3,0.766873176287613,5,LBHD:113.9/114.8/err0.9;RFHD:182.6/181.6/err1.1;LFHD:214.8/214.5/err0.3,forward_only_radius_rigid_connect
2311,LBHD,*53,2305,13.610827554603127,,1,2,0.08485529363930766,5,RFHD:209.5/209.4/err0.1;LFHD:170.4/170.3/err0.1,forward_only_radius_rigid_connect
2313,LELA,*54,2310,4.679991890623285,,1,3,0.23702112040448733,2,LSHO:335.1/335.1/err0.1;LUP:187.7/187.6/err0.1;LELB:84.3/84.8/err0.5,forward_only_radius_rigid_connect
2315,LBHD,*53,2312,6.718915868530358,,1,2,0.16851910425170047,2,RFHD:209.6/209.4/err0.2;LFHD:170.4/170.3/err0.2,forward_only_radius_rigid_connect
2317,C7,*56,2314,6.447709771236004,,1,3,1.1920395776020314,2,CLAV:143.8/143.8/err0.1;STRN:283.1/282.9/err0.2;T10:209.1/212.4/err3.3,forward_only_radius_rigid_connect
2317,LELA,*54,2314,4.670757086690896,,1,3,0.4658412496037556,2,LSHO:334.3/335.1/err0.9;LUP:187.3/187.6/err0.3;LELB:84.6/84.8/err0.2,forward_only_radius_rigid_connect
2318,LBHD,*56,2316,56.210550229221035,,1,2,24.801959352409924,1,RFHD:228.8/209.4/err19.3;LFHD:200.5/170.3/err30.3,forward_only_radius_rigid_connect
2321,LBHD,*53,2318,6.70449307764783,,1,2,24.259978270134397,2,RFHD:228.2/209.4/err18.8;LFHD:200.0/170.3/err29.7,forward_only_radius_rigid_connect
2321,LELA,*54,2318,4.427689083441523,,1,3,0.7914563121447268,2,LSHO:333.5/335.1/err1.6;LUP:186.9/187.6/err0.7;LELB:84.7/84.8/err0.0,forward_only_radius_rigid_connect
2322,LBHD,*56,2321,58.07798107825718,,1,2,0.25335149822173264,2,RFHD:209.6/209.4/err0.2;LFHD:170.6/170.3/err0.3,forward_only_radius_rigid_connect
2323,C7,*53,2317,13.467354272651425,,1,3,1.7680461493011042,5,CLAV:144.0/143.8/err0.2;STRN:282.5/282.9/err0.4;T10:207.8/212.4/err4.7,forward_only_radius_rigid_connect
2325,LELA,*54,2322,4.328521663860195,,1,3,1.2280088971156669,2,LSHO:333.0/335.1/err2.2;LUP:186.6/187.6/err1.0;LELB:85.3/84.8/err0.5,forward_only_radius_rigid_connect
2326,C7,*53,2323,7.005199818475977,,1,3,2.297848458760825,5,CLAV:144.4/143.8/err0.6;STRN:282.0/282.9/err0.9;T10:207.0/212.4/err5.4,forward_only_radius_rigid_connect
2326,LBHD,*56,2322,9.30436935534506,55.98908796286824,2,2,0.30462068331594594,3,RFHD:209.7/209.4/err0.2;LFHD:170.6/170.3/err0.4,forward_only_radius_rigid_connect
2328,C7,*53,2323,11.710196994646285,,1,3,2.571899666390332,4,CLAV:144.4/143.8/err0.7;STRN:281.8/282.9/err1.1;T10:206.5/212.4/err5.9,forward_only_radius_rigid_connect
2328,LBHD,*56,2326,4.729706384241786,56.251688911991266,2,2,0.3229457646056204,1,RFHD:209.7/209.4/err0.2;LFHD:170.7/170.3/err0.4,forward_only_radius_rigid_connect
2329,LELA,*54,2326,4.360685496876485,,1,3,1.473828463165873,2,LSHO:332.6/335.1/err2.6;LUP:186.4/187.6/err1.2;LELB:85.5/84.8/err0.7,forward_only_radius_rigid_connect
2330,C7,*53,2328,4.705473848758464,,1,3,2.7946787938542172,5,CLAV:144.6/143.8/err0.9;STRN:281.7/282.9/err1.2;T10:206.1/212.4/err6.3,forward_only_radius_rigid_connect
2330,LBHD,*56,2328,4.963612548612882,55.996613817923354,2,2,1.2827341954779712,1,RFHD:210.7/209.4/err1.2;LFHD:171.6/170.3/err1.3,forward_only_radius_rigid_connect
2332,LBHD,*53,2330,55.578506014004255,,1,2,22.868671385335645,1,RFHD:226.8/209.4/err17.3;LFHD:198.7/170.3/err28.4,forward_only_radius_rigid_connect
2333,C7,*53,2331,4.742109546401662,59.97152301570767,2,3,4.248960627711123,1,CLAV:142.0/143.8/err1.8;STRN:279.4/282.9/err3.6;T10:205.1/212.4/err7.3,forward_only_radius_rigid_connect
2333,LELA,*54,2330,4.50772031701372,,1,3,1.6903870846077496,2,LSHO:332.2/335.1/err2.9;LUP:186.4/187.6/err1.2;LELB:85.7/84.8/err0.9,forward_only_radius_rigid_connect
2334,LBHD,*56,2332,57.3459514556627,,1,2,0.4527445438244797,1,RFHD:209.8/209.4/err0.4;LFHD:170.8/170.3/err0.5,forward_only_radius_rigid_connect
2337,LELA,*54,2334,4.859908784898406,,1,3,1.9098452829362838,2,LSHO:332.0/335.1/err3.2;LUP:186.3/187.6/err1.3;LELB:86.0/84.8/err1.2,forward_only_radius_rigid_connect
2338,LBHD,*53,2334,57.344693908146816,,1,2,22.866147879214367,3,RFHD:226.2/209.4/err16.8;LFHD:199.2/170.3/err28.9,forward_only_radius_rigid_connect
2339,LBHD,*58,2336,7.18770780269437,,1,2,0.5627377852706701,2,RFHD:210.0/209.4/err0.5;LFHD:170.9/170.3/err0.6,forward_only_radius_rigid_connect
2340,C7,*53,2333,57.84802860250712,,1,3,9.662369145705242,5,CLAV:133.7/143.8/err10.1;STRN:266.9/282.9/err16.0;T10:209.6/212.4/err2.9,forward_only_radius_rigid_connect
2341,C7,*56,2337,9.392913268414926,,1,3,3.257732235849877,3,CLAV:144.8/143.8/err1.1;STRN:281.5/282.9/err1.4;T10:205.1/212.4/err7.3,forward_only_radius_rigid_connect
2341,LBHD,*58,2339,4.60007473804566,54.23529441296508,2,2,0.40106237282944335,1,RFHD:209.6/209.4/err0.2;LFHD:170.9/170.3/err0.6,forward_only_radius_rigid_connect
2341,LELA,*54,2338,5.7994751735466386,,1,3,1.9278292441074616,2,LSHO:331.8/335.1/err3.3;LUP:186.2/187.6/err1.4;LELB:85.9/84.8/err1.1,forward_only_radius_rigid_connect
2343,LBHD,*58,2341,4.4982312057431955,,1,2,0.5523974647441605,1,RFHD:209.9/209.4/err0.5;LFHD:170.9/170.3/err0.6,forward_only_radius_rigid_connect
2345,C7,*53,2342,6.71685922161971,,1,3,3.614102640333016,2,CLAV:145.7/143.8/err1.9;STRN:281.4/282.9/err1.5;T10:205.0/212.4/err7.4,forward_only_radius_rigid_connect
2347,LBHD,*53,2345,51.66473093311391,,1,2,19.757936225938522,1,RFHD:224.1/209.4/err14.7;LFHD:195.1/170.3/err24.9,forward_only_radius_rigid_connect
2349,LBHD,*53,2347,5.220742292307201,53.98324649048053,2,2,20.393042522501332,1,RFHD:224.2/209.4/err14.7;LFHD:196.3/170.3/err26.1,forward_only_radius_rigid_connect
2351,LBHD,*53,2349,4.625360446251914,,1,2,20.690182781234327,1,RFHD:224.6/209.4/err15.2;LFHD:196.5/170.3/err26.2,forward_only_radius_rigid_connect
2351,LELA,*52,2344,17.258755899554057,,1,3,2.7549021688011806,5,LSHO:330.6/335.1/err4.6;LUP:186.1/187.6/err1.5;LELB:87.0/84.8/err2.2,forward_only_radius_rigid_connect
2353,LBHD,*58,2351,56.19760139504761,,1,2,0.43083021185489656,1,RFHD:209.7/209.4/err0.2;LFHD:170.9/170.3/err0.6,forward_only_radius_rigid_connect
2354,C7,*59,2348,15.073955544001143,,1,3,4.321121087293913,5,CLAV:143.0/143.8/err0.8;STRN:278.6/282.9/err4.4;T10:204.6/212.4/err7.8,forward_only_radius_rigid_connect
2354,RASIS,*52,2351,3.385922336138706,,1,3,1.2796610504002406,2,LASIS:262.0/262.3/err0.4;RPSIS:168.3/167.0/err1.3;LPSIS:240.0/242.2/err2.2,forward_only_radius_rigid_connect
2355,LELA,*53,2351,11.043930418844567,,1,3,3.099381858989029,3,LSHO:329.9/335.1/err5.2;LUP:186.4/187.6/err1.2;LELB:87.6/84.8/err2.9,forward_only_radius_rigid_connect
2356,LBHD,*54,2353,6.637896447321417,,1,2,0.39742836291149786,2,RFHD:209.7/209.4/err0.2;LFHD:170.8/170.3/err0.6,forward_only_radius_rigid_connect
2358,RASIS,*52,2355,3.100939528698593,,1,3,0.9350623894195943,2,LASIS:262.2/262.3/err0.2;RPSIS:167.7/167.0/err0.6;LPSIS:240.2/242.2/err2.0,forward_only_radius_rigid_connect
2359,LELA,*53,2355,11.33754656250744,,1,3,3.590204856575118,3,LSHO:329.4/335.1/err5.8;LUP:186.5/187.6/err1.1;LELB:88.7/84.8/err3.9,forward_only_radius_rigid_connect
2360,LBHD,*54,2357,6.507608924629093,,1,2,0.28495539083630206,2,RFHD:209.6/209.4/err0.2;LFHD:170.7/170.3/err0.4,forward_only_radius_rigid_connect
2363,RMEP,*59,2357,6.949991751390995,,1,3,5.319976544098452,5,RTROC:417.8/423.8/err5.9;RTH:285.7/291.7/err6.0;RLEP:127.2/131.3/err4.0,forward_only_radius_rigid_connect
2364,LBHD,*54,2361,6.444492654676751,,1,2,0.5348237944083678,2,RFHD:208.8/209.4/err0.7;LFHD:169.8/170.3/err0.4,forward_only_radius_rigid_connect
2364,RASIS,*52,2359,4.591908937463549,,1,3,1.234470247195323,4,LASIS:261.6/262.3/err0.8;RPSIS:167.6/167.0/err0.5;LPSIS:239.8/242.2/err2.4,forward_only_radius_rigid_connect
2364,RMEP,*59,2363,0.5753487609377707,,1,3,5.344366710753984,5,RTROC:417.7/423.8/err6.1;RTH:285.7/291.7/err6.1;RLEP:127.4/131.3/err3.9,forward_only_radius_rigid_connect
2366,RMEP,*59,2364,1.171904021638884,,1,3,5.452469114139494,1,RTROC:417.4/423.8/err6.4;RTH:285.5/291.7/err6.2;RLEP:127.5/131.3/err3.7,forward_only_radius_rigid_connect
2368,LBHD,*54,2365,5.960170735359591,,1,2,0.46582611947823693,2,RFHD:209.9/209.4/err0.5;LFHD:170.7/170.3/err0.4,forward_only_radius_rigid_connect
2368,RMEP,*59,2366,1.1795798033065834,,1,3,5.617136009837424,1,RTROC:417.1/423.8/err6.6;RTH:285.2/291.7/err6.5;RLEP:127.6/131.3/err3.7,forward_only_radius_rigid_connect
2370,RASIS,*52,2364,5.675680040021081,,1,3,1.6092510648905431,5,LASIS:260.6/262.3/err1.7;RPSIS:167.2/167.0/err0.2;LPSIS:239.3/242.2/err2.9,forward_only_radius_rigid_connect
2370,RMEP,*59,2368,0.9312056520932435,,1,3,5.5439565738234835,1,RTROC:417.0/423.8/err6.8;RTH:285.2/291.7/err6.6;RLEP:128.0/131.3/err3.3,forward_only_radius_rigid_connect
2372,LBHD,*53,2368,7.88384595623867,,1,2,0.5155124676803808,3,RFHD:209.9/209.4/err0.5;LFHD:170.8/170.3/err0.6,forward_only_radius_rigid_connect
2372,RASIS,*52,2367,4.788913468202378,,1,3,1.7589503260720392,4,LASIS:260.3/262.3/err2.0;RPSIS:166.9/167.0/err0.1;LPSIS:239.1/242.2/err3.2,forward_only_radius_rigid_connect
2372,RMEP,*59,2370,1.5345448455339619,,1,3,5.823910279992252,1,RTROC:416.7/423.8/err7.1;RTH:284.8/291.7/err6.9;RLEP:127.8/131.3/err3.5,forward_only_radius_rigid_connect
2374,RMEP,*59,2372,1.7118146376372434,,1,3,6.252079293967327,1,RTROC:416.4/423.8/err7.3;RTH:283.9/291.7/err7.8;RLEP:127.6/131.3/err3.7,forward_only_radius_rigid_connect
2375,LELA,*53,2362,40.67292469428368,,1,3,4.525228561974946,5,LSHO:327.5/335.1/err7.6;LUP:187.1/187.6/err0.5;LELB:90.2/84.8/err5.4,forward_only_radius_rigid_connect
2376,LBHD,*54,2373,6.1193840070990735,,1,2,0.32193568918225424,2,RFHD:209.1/209.4/err0.4;LFHD:170.0/170.3/err0.3,forward_only_radius_rigid_connect
2376,LELA,*53,2375,4.503272447982308,,1,3,5.796584274271258,5,LSHO:325.7/335.1/err9.4;LUP:185.6/187.6/err2.0;LELB:90.8/84.8/err6.0,forward_only_radius_rigid_connect
