frame,marker,raw,forward_distance,backward_distance,forward_anchor_frame,backward_anchor_frame,support,mean_error,second_distance,candidate_count,method
2304,LBHD,*53,4.621549810447356,,2302,,2,0.04537501116395504,,1,radius_single_high_conf_forward
2305,LELA,*54,3.611157429252378,,2302,,3,0.09044411774229862,,1,radius_single_high_conf_forward
2305,RBHD,*56,6.674243984447648,,2302,,2,0.3144497419803258,,1,radius_single_high_conf_forward
2306,LELA,*54,1.3573737156509997,,2305,,3,0.16325185201448753,,1,radius_single_high_conf_forward
2306,RBHD,*56,2.2709971407717924,,2305,,2,0.3627680576798298,,1,radius_single_high_conf_forward
2308,LBHD,*53,9.038602297359432,,2304,,3,0.31789322656134306,,1,radius_single_high_conf_forward
2308,LELA,*54,3.021683140975195,,2306,,3,0.8544080861371744,,1,radius_single_high_conf_forward
2308,RBHD,*56,4.640581951022964,,2306,,2,0.5613141607957175,,1,radius_single_high_conf_forward
2309,LBHD,*53,2.2211001568841726,,2308,,2,0.07730260175176795,,1,radius_single_high_conf_forward
2310,LBHD,*53,10.106894932201197,,2309,,3,4.740779686758667,,1,radius_single_high_conf_forward
2310,LELA,*54,3.0680612319682643,,2308,,3,0.5752799619902381,,1,radius_single_high_conf_forward
2310,RBHD,*56,4.589282179044429,,2308,,2,0.536378508851584,,1,radius_single_high_conf_forward
2310,RMEP,*58,3.867078157526385,2.5365443628361093,2305,2312,3,0.6956044469728132,,,radius_bidirectional_rigid
2311,RMEP,*58,2.722829849107881,,2310,,3,0.6270206863554222,,1,radius_single_high_conf_forward
2312,C7,*56,8.48714300025111,,2308,,3,0.9323788543482294,,1,radius_single_high_conf_forward
2312,LBHD,*53,3.981898098897929,,2310,,3,0.5259420154957345,57.71979599027119,2,radius_single_high_conf_forward
2312,LELA,*54,3.1246009919125286,,2310,,3,0.3052327340509085,,1,radius_single_high_conf_forward
2312,RBHD,*59,4.934731494321568,,2310,,2,0.9485453236977577,,1,radius_single_high_conf_forward
2312,RMEP,*58,,3.2997478540611564,,2314,3,0.9058732568234878,,1,radius_single_high_conf_backward
2313,C7,*56,3.574886895354601,,2312,,3,2.505825073229071,,1,radius_single_high_conf_forward
2313,RMEP,*58,2.1734258207919908,,2311,,3,1.09932151002504,,1,radius_single_high_conf_forward
2314,C7,*56,2.1255198642199127,,2313,,3,2.5928723483605722,,1,radius_single_high_conf_forward
2314,LBHD,*53,4.430323163682501,,2312,,3,0.560820962718258,,1,radius_single_high_conf_forward
2314,LELA,*54,3.1035372096836147,,2312,,3,0.24443068376498425,,1,radius_single_high_conf_forward
2314,RBHD,*59,4.848938992049023,,2312,,2,1.1103132376648688,,1,radius_single_high_conf_forward
2314,RMEP,*58,,2.7546966786334446,,2316,3,1.1898402298934627,,1,radius_single_high_conf_backward
2315,RMEP,*58,2.5460443240905133,,2313,,3,1.339684964480739,,1,radius_single_high_conf_forward
2316,C7,*56,4.277246005648513,,2314,,3,2.8596790821278923,,1,radius_single_high_conf_forward
2316,LBHD,*53,12.711271614702163,,2314,,2,3.98326173898883,,1,radius_single_high_conf_forward
2316,LELA,*54,3.125698460367083,,2314,,3,0.38773914798512976,,1,radius_single_high_conf_forward
2316,RMEP,*58,,3.221969233744529,,2318,3,1.4814077383101676,,1,radius_single_high_conf_backward
2317,RBHD,*59,7.4189139345934585,,2314,,2,1.2490477030724207,,1,radius_single_high_conf_forward
2317,RMEP,*58,2.9643905017399406,,2315,,3,1.626679752776577,,1,radius_single_high_conf_forward
2318,LELA,*54,3.0877121411410946,,2316,,3,0.5538317208601219,,1,radius_single_high_conf_forward
2318,RMEP,*58,,3.5480483717423335,,2320,3,1.7560504732473134,,1,radius_single_high_conf_backward
2319,RMEP,*58,3.438682236894715,,2317,,3,1.8791652390248146,,1,radius_single_high_conf_forward
2320,LELA,*54,2.9787063068576263,,2318,,3,0.7179025572447747,,1,radius_single_high_conf_forward
2320,RMEP,*58,,3.7506675746888605,,2322,3,1.988060305688909,,1,radius_single_high_conf_backward
2321,RMEP,*58,3.6470618373065737,,2319,,3,2.0980434719929897,,1,radius_single_high_conf_forward
2322,C7,*53,13.327024256184355,,2316,,3,3.487303880826848,,1,radius_single_high_conf_forward
2322,LELA,*54,2.9085473445496914,,2320,,3,0.8530523039732193,,1,radius_single_high_conf_forward
2322,RMEP,*58,,3.7453093779088973,,2324,3,2.175066101538268,,1,radius_single_high_conf_backward
2323,RMEP,*58,3.7863819514106387,,2321,,3,2.241469383424743,,1,radius_single_high_conf_forward
2324,LELA,*54,2.874241595587025,,2322,,3,1.0297590111093864,,1,radius_single_high_conf_forward
2324,RMEP,*58,,3.7486681397186126,,2326,3,2.3219410749074427,,1,radius_single_high_conf_backward
2325,RMEP,*58,3.7293918214794273,,2323,,3,2.4001233739430083,,1,radius_single_high_conf_forward
2326,LELA,*54,2.8862002919232426,,2324,,3,1.2940300933862734,,1,radius_single_high_conf_forward
2326,RMEP,*58,,3.9586150864479155,,2328,3,2.475037249412727,,1,radius_single_high_conf_backward
2327,C7,*53,11.13649173238923,,2322,,3,2.4117288437869036,,1,radius_single_high_conf_forward
2327,RMEP,*58,4.174952461014317,,2325,,3,2.7240374766584807,,1,radius_single_high_conf_forward
2328,LELA,*54,2.9015423302316607,,2326,,3,1.4104188154911508,,1,radius_single_high_conf_forward
2328,RMEP,*58,,1.7989347462011125,,2329,3,2.8185497588446253,,1,radius_single_high_conf_backward
2329,C7,*53,4.686388825897624,,2327,,3,2.654301883478657,,1,radius_single_high_conf_forward
2329,RMEP,*58,3.5713445588990234,8.539155891569559,2327,2334,3,2.9247941485538007,,,radius_bidirectional_rigid
2330,LELA,*54,2.9314426308242902,,2328,,3,1.529340419143864,,1,radius_single_high_conf_forward
2331,C7,*53,6.1800937494941595,,2329,,3,4.08791541437904,58.08395996858543,2,radius_single_high_conf_forward
2332,LELA,*54,2.9820320090666943,,2330,,3,1.6457062448722535,,1,radius_single_high_conf_forward
2334,LELA,*54,3.0370847302384463,,2332,,3,1.7455972390631775,,1,radius_single_high_conf_forward
2336,C7,*53,11.860670782876198,,2331,,3,4.301942924769226,,1,radius_single_high_conf_forward
2336,LBHD,*56,4.648789107324271,,2334,,2,0.49798236633503734,57.667400632112944,2,radius_single_high_conf_forward
2336,LELA,*54,3.200192930786997,,2334,,3,1.8454349321199384,,1,radius_single_high_conf_forward
2337,C7,*53,8.958773174555393,,2333,,3,3.189222735086531,,1,radius_single_high_conf_forward
2338,LELA,*54,3.376652761182557,,2336,,3,1.9596748993561068,,1,radius_single_high_conf_forward
2340,LELA,*54,3.635629013312441,,2338,,3,2.023149984179019,,1,radius_single_high_conf_forward
2342,C7,*56,12.800056141050874,,2337,,3,4.185913192703585,58.51042158168241,2,radius_single_high_conf_forward
2342,LELA,*54,4.21561231358516,,2340,,3,1.9948190516755488,,1,radius_single_high_conf_forward
2342,RMEP,*59,6.64182611929501,0.8647587365734568,2336,2343,3,4.108886325172866,,,radius_bidirectional_rigid
2343,RMEP,*59,3.800568916182559,3.259502646306289,2339,2346,3,4.182840850502449,,,radius_bidirectional_rigid
2344,LELA,*54,4.297172574663101,,2342,,3,2.1329819535698014,,1,radius_single_high_conf_forward
2345,LBHD,*58,4.64067658321855,,2343,,2,0.5543329207953462,53.63258742964544,2,radius_single_high_conf_forward
2346,C7,*53,8.913021234114682,,2342,,3,3.415415520530511,,1,radius_single_high_conf_forward
2346,RMEP,*59,,3.833867237421785,,2350,3,3.6503977573065356,,1,radius_single_high_conf_backward
2347,LELA,*54,7.058146419821993,,2344,,3,2.348452232668928,,1,radius_single_high_conf_forward
2348,C7,*53,4.847623634766591,,2346,,3,3.3963882198193005,,1,radius_single_high_conf_forward
2348,LELA,*54,2.43229175126612,,2347,,3,2.4642340375553147,,1,radius_single_high_conf_forward
2350,C7,*53,10.286328108125183,,2346,,3,4.257880487273487,57.45455628127232,2,radius_single_high_conf_forward
2350,LELA,*52,5.136465041074024,,2348,,3,2.655953062496053,,1,radius_single_high_conf_forward
2353,LELA,*53,8.096538733473668,,2350,,3,2.995184046658693,,1,radius_single_high_conf_forward
2353,RASIS,*52,2.2254236567743253,,2351,,3,1.246503406026335,,1,radius_single_high_conf_forward
2354,LELA,*53,2.7569431448943944,,2353,,3,3.041878249257138,,1,radius_single_high_conf_forward
2355,LBHD,*54,4.474724008015102,,2353,,2,0.5585178913446072,,1,radius_single_high_conf_forward
2355,RASIS,*52,2.312660545377413,,2353,,3,0.878695956801522,,1,radius_single_high_conf_forward
2357,C7,*59,14.768507844189378,,2350,,3,3.5621883050965644,,1,radius_single_high_conf_forward
2357,LBHD,*54,4.366063711358574,,2355,,2,0.6382481236893653,54.31275943755631,2,radius_single_high_conf_forward
2357,LELA,*53,8.53957812475948,,2354,,3,3.3377281379169497,,1,radius_single_high_conf_forward
2357,RASIS,*52,1.81924268241146,,2355,,3,1.382669938381459,,1,radius_single_high_conf_forward
2358,C7,*59,3.3974609660088038,,2357,,3,4.178527803812737,55.49893317188657,2,radius_single_high_conf_forward
2358,LELA,*53,2.7378157331861557,,2357,,3,3.4993134216984507,,1,radius_single_high_conf_forward
2359,LBHD,*54,4.376535821420191,,2357,,2,1.3777169870219268,,1,radius_single_high_conf_forward
2359,RASIS,*52,3.0428879651228407,,2357,,3,1.000754482053831,,1,radius_single_high_conf_forward
2360,C7,*58,12.675353162405383,,2354,,3,4.20109568035276,,1,radius_single_high_conf_forward
