direction,frame,marker,raw,anchor_frame,distance,second_distance,candidate_count,support,mean_error,search_offset,details,reason
forward,2318,LBHD,*56,2315,56.210550229221035,,1,2,24.801959352409924,1,RFHD:228.8/209.4/err19.3;LFHD:200.5/170.3/err30.3,forward_only
forward,2321,LBHD,*53,2317,6.70449307764783,,1,2,24.259978270134397,2,RFHD:228.2/209.4/err18.8;LFHD:200.0/170.3/err29.7,forward_only
forward,2323,LBHD,*53,2320,4.568561847924641,58.665318955472955,2,2,23.805750224053995,3,RFHD:227.7/209.4/err18.2;LFHD:199.6/170.3/err29.4,forward_only
forward,2326,LBHD,*53,2322,7.005199818475977,59.07129257348731,2,2,23.593774856258875,2,RFHD:227.6/209.4/err18.1;LFHD:199.3/170.3/err29.1,forward_only
forward,2328,LBHD,*53,2325,4.705296526096088,58.08988958574132,2,2,23.340062660345893,1,RFHD:227.3/209.4/err17.9;LFHD:199.1/170.3/err28.8,forward_only
forward,2330,LBHD,*53,2327,4.705473848758464,57.41008669620004,2,2,23.050711562778645,1,RFHD:227.0/209.4/err17.6;LFHD:198.8/170.3/err28.5,forward_only
forward,2332,LBHD,*53,2329,4.797905202449674,,1,2,22.868671385335645,1,RFHD:226.8/209.4/err17.3;LFHD:198.7/170.3/err28.4,forward_only
forward,2333,C7,*53,2326,15.2413630060903,,1,3,4.248960627711123,5,CLAV:142.0/143.8/err1.8;STRN:279.4/282.9/err3.6;T10:205.1/212.4/err7.3,forward_only
forward,2334,LBHD,*56,2331,57.3459514556627,,1,2,0.4527445438244797,1,RFHD:209.8/209.4/err0.4;LFHD:170.8/170.3/err0.5,forward_only
forward,2338,LBHD,*53,2335,57.762105386998115,,1,2,22.866147879214367,1,RFHD:226.2/209.4/err16.8;LFHD:199.2/170.3/err28.9,forward_only
forward,2340,C7,*53,2336,50.61322401776898,57.0095808198755,2,3,9.662369145705242,5,CLAV:133.7/143.8/err10.1;STRN:266.9/282.9/err16.0;T10:209.6/212.4/err2.9,forward_only
forward,2341,LBHD,*56,2337,6.72117533406457,58.939357304465936,2,2,21.038348243256834,2,RFHD:224.8/209.4/err15.4;LFHD:196.9/170.3/err26.7,forward_only
forward,2343,LBHD,*58,2340,55.83637822803087,,1,2,0.5523974647441605,1,RFHD:209.9/209.4/err0.5;LFHD:170.9/170.3/err0.6,forward_only
forward,2345,C7,*53,2339,34.491783128325096,,1,3,3.614102640333016,4,CLAV:145.7/143.8/err1.9;STRN:281.4/282.9/err1.5;T10:205.0/212.4/err7.4,forward_only
forward,2347,LBHD,*53,2344,51.66473093311391,,1,2,19.757936225938522,1,RFHD:224.1/209.4/err14.7;LFHD:195.1/170.3/err24.9,forward_only
forward,2349,LBHD,*53,2346,5.220742292307201,53.98324649048053,2,2,20.393042522501332,1,RFHD:224.2/209.4/err14.7;LFHD:196.3/170.3/err26.1,forward_only
forward,2351,LBHD,*53,2348,4.625360446251914,,1,2,20.690182781234327,1,RFHD:224.6/209.4/err15.2;LFHD:196.5/170.3/err26.2,forward_only
forward,2353,LBHD,*58,2350,56.19760139504761,,1,2,0.43083021185489656,1,RFHD:209.7/209.4/err0.2;LFHD:170.9/170.3/err0.6,forward_only
forward,2354,C7,*59,2347,15.073955544001143,,1,3,4.321121087293913,5,CLAV:143.0/143.8/err0.8;STRN:278.6/282.9/err4.4;T10:204.6/212.4/err7.8,forward_only
forward,2363,RMEP,*59,2361,0.6246938516285924,,1,3,5.319976544098452,4,RTROC:417.8/423.8/err5.9;RTH:285.7/291.7/err6.0;RLEP:127.2/131.3/err4.0,forward_only
forward,2365,RMEP,*59,2362,1.1719298322088396,,1,3,5.378165442919614,1,RTROC:417.6/423.8/err6.2;RTH:285.6/291.7/err6.1;RLEP:127.5/131.3/err3.8,forward_only
forward,2367,RMEP,*59,2364,1.1412323386454188,,1,3,5.520988632137971,1,RTROC:417.2/423.8/err6.5;RTH:285.4/291.7/err6.4;RLEP:127.6/131.3/err3.7,forward_only
forward,2369,RMEP,*59,2366,0.833419888084903,,1,3,5.420540850783226,1,RTROC:417.1/423.8/err6.7;RTH:285.3/291.7/err6.4;RLEP:128.1/131.3/err3.2,forward_only
forward,2371,RMEP,*59,2368,1.4362404273526914,,1,3,5.686134733358348,1,RTROC:416.8/423.8/err7.0;RTH:285.0/291.7/err6.8;RLEP:127.9/131.3/err3.3,forward_only
forward,2373,RMEP,*59,2370,1.615986760660624,,1,3,5.967334042649426,1,RTROC:416.5/423.8/err7.2;RTH:284.6/291.7/err7.1;RLEP:127.7/131.3/err3.6,forward_only
forward,2375,LELA,*53,2361,40.67292469428368,,1,3,4.525228561974946,5,LSHO:327.5/335.1/err7.6;LUP:187.1/187.6/err0.5;LELB:90.2/84.8/err5.4,forward_only
forward,2375,RMEP,*59,2372,1.8494894448041919,,1,3,6.331891147671897,1,RTROC:416.4/423.8/err7.4;RTH:283.9/291.7/err7.8;RLEP:127.5/131.3/err3.8,forward_only
forward,2376,LELA,*53,2374,4.503272447982308,,1,3,5.796584274271258,5,LSHO:325.7/335.1/err9.4;LUP:185.6/187.6/err2.0;LELB:90.8/84.8/err6.0,forward_only
forward,2377,RMEP,*59,2374,2.0878186487811203,,1,3,6.455985187367446,1,RTROC:416.2/423.8/err7.6;RTH:283.9/291.7/err7.9;RLEP:127.4/131.3/err3.9,forward_only
forward,2378,LELA,*53,2376,4.7623566492820215,,1,3,6.34051392297089,5,LSHO:324.7/335.1/err10.5;LUP:184.9/187.6/err2.7;LELB:90.6/84.8/err5.9,forward_only
forward,2379,LELA,*53,2377,2.942908817047582,,1,3,6.60561997669402,5,LSHO:324.2/335.1/err10.9;LUP:184.5/187.6/err3.0;LELB:90.7/84.8/err5.9,forward_only
forward,2379,RELA,*58,2376,3.343826278348191,,1,3,5.236366068727231,1,RSHO:325.4/334.9/err9.5;RUP:181.5/179.9/err1.6;RELB:91.0/86.4/err4.6,forward_only
forward,2379,RMEP,*59,2376,2.261633102371604,,1,3,6.694192687686619,1,RTROC:415.9/423.8/err7.8;RTH:283.5/291.7/err8.2;RLEP:127.2/131.3/err4.1,forward_only
forward,2380,C7,*61,2370,19.128835808670228,53.13341265142523,2,3,5.808981749421709,5,CLAV:143.7/143.8/err0.1;STRN:276.4/282.9/err6.5;T10:201.6/212.4/err10.8,forward_only
forward,2381,C7,*61,2379,2.382098015041991,,1,3,5.789985151438041,5,CLAV:143.7/143.8/err0.1;STRN:276.5/282.9/err6.5;T10:201.6/212.4/err10.8,forward_only
forward,2381,LELA,*53,2378,4.3914873297265515,,1,3,5.879960044026272,1,LSHO:325.2/335.1/err10.0;LUP:185.6/187.6/err2.0;LELB:90.5/84.8/err5.7,forward_only
forward,2381,RELA,*58,2378,3.402548682115639,,1,3,5.399201471372582,1,RSHO:325.2/334.9/err9.7;RUP:181.7/179.9/err1.8;RELB:91.2/86.4/err4.8,forward_only
forward,2381,RMEP,*59,2378,2.768664938970134,,1,3,6.947922366705266,1,RTROC:415.6/423.8/err8.2;RTH:283.1/291.7/err8.6;RLEP:127.2/131.3/err4.1,forward_only
forward,2383,LBHD,*58,2381,59.03958954916144,,1,2,21.335552380543135,2,RFHD:225.8/209.4/err16.3;LFHD:196.6/170.3/err26.3,forward_only
forward,2383,LELA,*53,2380,5.28812429849196,,1,3,6.2626720607989155,1,LSHO:324.6/335.1/err10.6;LUP:185.2/187.6/err2.3;LELB:90.6/84.8/err5.8,forward_only
forward,2383,RMEP,*59,2380,2.638674558310623,,1,3,7.39493309129854,1,RTROC:415.2/423.8/err8.6;RTH:282.5/291.7/err9.2;RLEP:126.9/131.3/err4.4,forward_only
forward,2385,LELA,*53,2382,4.277113915391243,,1,3,6.060488385235819,1,LSHO:324.7/335.1/err10.4;LUP:185.6/187.6/err1.9;LELB:90.6/84.8/err5.8,forward_only
forward,2385,RMEP,*59,2382,3.1239985223237494,,1,3,7.826661457150536,1,RTROC:414.8/423.8/err9.0;RTH:282.0/291.7/err9.7;RLEP:126.5/131.3/err4.8,forward_only
