direction,frame,marker,anchor_frame,search_frames,reason,raw,distance,second_distance,candidate_count,support,mean_error,details
forward,2315,RBHD,2316,2316;2317;2318;2319;2320,no_candidate_within_radius,,,,,,,
forward,2317,RBHD,2316,2318;2319;2320;2321;2322,no_candidate_within_radius,,,,,,,
forward,2318,RBHD,2316,2319;2320;2321;2322;2323,no_candidate_within_radius,,,,,,,
forward,2319,RBHD,2316,2320;2321;2322;2323;2324,no_candidate_within_radius,,,,,,,
forward,2320,RBHD,2316,2321;2322;2323;2324;2325,no_candidate_within_radius,,,,,,,
forward,2321,RBHD,2316,2322;2323;2324;2325;2326,no_candidate_within_radius,,,,,,,
forward,2322,RBHD,2316,2323;2324;2325;2326;2327,no_candidate_within_radius,,,,,,,
forward,2323,RBHD,2316,2324;2325;2326;2327;2328,no_candidate_within_radius,,,,,,,
forward,2324,RBHD,2316,2325;2326;2327;2328;2329,no_candidate_within_radius,,,,,,,
forward,2325,RBHD,2316,2326;2327;2328;2329;2330,no_candidate_within_radius,,,,,,,
forward,2326,RBHD,2316,2327;2328;2329;2330;2331,no_candidate_within_radius,,,,,,,
forward,2327,RBHD,2316,2328;2329;2330;2331;2332,no_candidate_within_radius,,,,,,,
forward,2328,RBHD,2316,2329;2330;2331;2332;2333,no_candidate_within_radius,,,,,,,
forward,2329,RBHD,2316,2330;2331;2332;2333;2334,no_candidate_within_radius,,,,,,,
forward,2330,RBHD,2316,2331;2332;2333;2334;2335,no_candidate_within_radius,,,,,,,
forward,2331,RBHD,2316,2332;2333;2334;2335;2336,no_candidate_within_radius,,,,,,,
forward,2332,RBHD,2316,2333;2334;2335;2336;2337,no_candidate_within_radius,,,,,,,
forward,2333,RBHD,2316,2334;2335;2336;2337;2338,no_candidate_within_radius,,,,,,,
forward,2334,RBHD,2316,2335;2336;2337;2338;2339,no_candidate_within_radius,,,,,,,
forward,2335,RBHD,2316,2336;2337;2338;2339;2340,no_candidate_within_radius,,,,,,,
forward,2336,RBHD,2316,2337;2338;2339;2340;2341,no_candidate_within_radius,,,,,,,
forward,2337,RBHD,2316,2338;2339;2340;2341;2342,no_candidate_within_radius,,,,,,,
forward,2338,RBHD,2316,2339;2340;2341;2342;2343,no_candidate_within_radius,,,,,,,
forward,2339,RBHD,2316,2340;2341;2342;2343;2344,no_candidate_within_radius,,,,,,,
forward,2340,RBHD,2316,2341;2342;2343;2344;2345,no_candidate_within_radius,,,,,,,
forward,2341,RBHD,2316,2342;2343;2344;2345;2346,no_candidate_within_radius,,,,,,,
forward,2342,RBHD,2316,2343;2344;2345;2346;2347,no_candidate_within_radius,,,,,,,
forward,2343,RBHD,2316,2344;2345;2346;2347;2348,no_candidate_within_radius,,,,,,,
forward,2344,RBHD,2316,2345;2346;2347;2348;2349,no_candidate_within_radius,,,,,,,
forward,2345,RBHD,2316,2346;2347;2348;2349;2350,no_candidate_within_radius,,,,,,,
forward,2346,RBHD,2316,2347;2348;2349;2350;2351,no_candidate_within_radius,,,,,,,
forward,2347,RBHD,2316,2348;2349;2350;2351;2352,no_candidate_within_radius,,,,,,,
forward,2348,RBHD,2316,2349;2350;2351;2352;2353,no_candidate_within_radius,,,,,,,
forward,2349,RBHD,2316,2350;2351;2352;2353;2354,no_candidate_within_radius,,,,,,,
forward,2350,RBHD,2316,2351;2352;2353;2354;2355,no_candidate_within_radius,,,,,,,
forward,2351,RBHD,2316,2352;2353;2354;2355;2356,no_candidate_within_radius,,,,,,,
forward,2352,RBHD,2316,2353;2354;2355;2356;2357,no_candidate_within_radius,,,,,,,
forward,2353,RBHD,2316,2354;2355;2356;2357;2358,no_candidate_within_radius,,,,,,,
