frame,marker,anchor_frame,searched_frames,reason,raw,distance,second_distance,candidate_count,search_offset,radius_limit,support,mean_error,details
2303,RBHD,2302,2302;2303,no_acceptable_forward_candidate,,,,,,,,,
2304,RBHD,2302,2303,no_acceptable_forward_candidate,,,,,,,,,
2307,RBHD,2306,2306,no_acceptable_forward_candidate,,,,,,,,,
2311,RBHD,2310,2310,no_acceptable_forward_candidate,,,,,,,,,
2313,RBHD,2312,2312,no_acceptable_forward_candidate,,,,,,,,,
2315,RBHD,2314,2314;2315,no_acceptable_forward_candidate,,,,,,,,,
2316,RBHD,2314,2315,no_acceptable_forward_candidate,,,,,,,,,
2318,RBHD,2317,2317;2318;2319;2320;2321;2322,no_acceptable_forward_candidate,,,,,,,,,
2319,RBHD,2317,2318;2319;2320;2321;2322;2323,no_acceptable_forward_candidate,,,,,,,,,
2320,RBHD,2317,2319;2320;2321;2322;2323;2324,no_acceptable_forward_candidate,,,,,,,,,
2321,RBHD,2317,2320;2321;2322;2323;2324;2325,no_acceptable_forward_candidate,,,,,,,,,
2322,RBHD,2317,2321;2322;2323;2324;2325;2326,no_acceptable_forward_candidate,,,,,,,,,
2323,RBHD,2317,2322;2323;2324;2325;2326;2327,no_acceptable_forward_candidate,,,,,,,,,
2324,RBHD,2317,2323;2324;2325;2326;2327;2328,no_acceptable_forward_candidate,,,,,,,,,
2325,RBHD,2317,2324;2325;2326;2327;2328;2329,no_acceptable_forward_candidate,,,,,,,,,
2326,RBHD,2317,2325;2326;2327;2328;2329;2330,no_acceptable_forward_candidate,,,,,,,,,
2327,RBHD,2317,2326;2327;2328;2329;2330;2331,no_acceptable_forward_candidate,,,,,,,,,
2328,RBHD,2317,2327;2328;2329;2330;2331;2332,no_acceptable_forward_candidate,,,,,,,,,
2329,RBHD,2317,2328;2329;2330;2331;2332;2333,no_acceptable_forward_candidate,,,,,,,,,
2330,RBHD,2317,2329;2330;2331;2332;2333;2334,no_acceptable_forward_candidate,,,,,,,,,
2331,RBHD,2317,2330;2331;2332;2333;2334;2335,no_acceptable_forward_candidate,,,,,,,,,
2332,RBHD,2317,2331;2332;2333;2334;2335;2336,no_acceptable_forward_candidate,,,,,,,,,
2333,RBHD,2317,2332;2333;2334;2335;2336;2337,no_acceptable_forward_candidate,,,,,,,,,
2334,RBHD,2317,2333;2334;2335;2336;2337;2338,no_acceptable_forward_candidate,,,,,,,,,
2335,RBHD,2317,2334;2335;2336;2337;2338;2339,no_acceptable_forward_candidate,,,,,,,,,
2336,RBHD,2317,2335;2336;2337;2338;2339;2340,no_acceptable_forward_candidate,,,,,,,,,
2337,RBHD,2317,2336;2337;2338;2339;2340;2341,no_acceptable_forward_candidate,,,,,,,,,
2338,RBHD,2317,2337;2338;2339;2340;2341;2342,no_acceptable_forward_candidate,,,,,,,,,
2339,RBHD,2317,2338;2339;2340;2341;2342;2343,no_acceptable_forward_candidate,,,,,,,,,
2340,RBHD,2317,2339;2340;2341;2342;2343;2344,no_acceptable_forward_candidate,,,,,,,,,
2341,RBHD,2317,2340;2341;2342;2343;2344;2345,no_acceptable_forward_candidate,,,,,,,,,
2342,RBHD,2317,2341;2342;2343;2344;2345;2346,no_acceptable_forward_candidate,,,,,,,,,
2343,RBHD,2317,2342;2343;2344;2345;2346;2347,no_acceptable_forward_candidate,,,,,,,,,
2344,RBHD,2317,2343;2344;2345;2346;2347;2348,no_acceptable_forward_candidate,,,,,,,,,
2345,RBHD,2317,2344;2345;2346;2347;2348;2349,no_acceptable_forward_candidate,,,,,,,,,
2346,RBHD,2317,2345;2346;2347;2348;2349;2350,no_acceptable_forward_candidate,,,,,,,,,
2347,RBHD,2317,2346;2347;2348;2349;2350;2351,no_acceptable_forward_candidate,,,,,,,,,
2348,RBHD,2317,2347;2348;2349;2350;2351;2352,no_acceptable_forward_candidate,,,,,,,,,
2349,RBHD,2317,2348;2349;2350;2351;2352;2353,no_acceptable_forward_candidate,,,,,,,,,
2350,RBHD,2317,2349;2350;2351;2352;2353;2354,no_acceptable_forward_candidate,,,,,,,,,
2351,RBHD,2317,2350;2351;2352;2353;2354;2355,no_acceptable_forward_candidate,,,,,,,,,
2352,RBHD,2317,2351;2352;2353;2354;2355;2356,no_acceptable_forward_candidate,,,,,,,,,
2353,RBHD,2317,2352;2353;2354;2355;2356;2357,no_acceptable_forward_candidate,,,,,,,,,
2354,RBHD,2317,2353;2354;2355;2356;2357;2358,no_acceptable_forward_candidate,,,,,,,,,
2355,RBHD,2317,2354;2355;2356;2357;2358;2359,no_acceptable_forward_candidate,,,,,,,,,
2356,RBHD,2317,2355;2356;2357;2358;2359;2360,no_acceptable_forward_candidate,,,,,,,,,
2357,RBHD,2317,2356;2357;2358;2359;2360;2361,no_acceptable_forward_candidate,,,,,,,,,
2358,RBHD,2317,2357;2358;2359;2360;2361;2362,no_acceptable_forward_candidate,,,,,,,,,
2359,RBHD,2317,2358;2359;2360;2361;2362;2363,no_acceptable_forward_candidate,,,,,,,,,
2360,RBHD,2317,2359;2360;2361;2362;2363;2364,no_acceptable_forward_candidate,,,,,,,,,
2361,RBHD,2317,2360;2361;2362;2363;2364;2365,no_acceptable_forward_candidate,,,,,,,,,
2362,RBHD,2317,2361;2362;2363;2364;2365;2366,no_acceptable_forward_candidate,,,,,,,,,
2363,RBHD,2317,2362;2363;2364;2365;2366;2367,no_acceptable_forward_candidate,,,,,,,,,
