frame,marker,anchor_frame,searched_frames,reason,raw,distance,second_distance,candidate_count,search_offset,radius_limit,support,mean_error,details
2603,RBHD,2604,2602,no_acceptable_reverse_candidate,,,,,,,,,
2595,RBHD,2596,2594,no_acceptable_reverse_candidate,,,,,,,,,
2593,RBHD,2594,2592;2591;2590;2589;2588;2587,no_acceptable_reverse_candidate,,,,,,,,,
2592,RBHD,2594,2591;2590;2589;2588;2587;2586,no_acceptable_reverse_candidate,,,,,,,,,
2591,RBHD,2594,2590;2589;2588;2587;2586;2585,no_acceptable_reverse_candidate,,,,,,,,,
2590,RBHD,2594,2589;2588;2587;2586;2585;2584,no_acceptable_reverse_candidate,,,,,,,,,
2589,RBHD,2594,2588;2587;2586;2585;2584;2583,no_acceptable_reverse_candidate,,,,,,,,,
2588,RBHD,2594,2587;2586;2585;2584;2583;2582,no_acceptable_reverse_candidate,,,,,,,,,
2587,RBHD,2594,2586;2585;2584;2583;2582;2581,no_acceptable_reverse_candidate,,,,,,,,,
2586,RBHD,2594,2585;2584;2583;2582;2581;2580,no_acceptable_reverse_candidate,,,,,,,,,
2585,RBHD,2594,2584;2583;2582;2581;2580;2579,no_acceptable_reverse_candidate,,,,,,,,,
2584,RBHD,2594,2583;2582;2581;2580;2579;2578,no_acceptable_reverse_candidate,,,,,,,,,
2583,RBHD,2594,2582;2581;2580;2579;2578;2577,no_acceptable_reverse_candidate,,,,,,,,,
2582,RBHD,2594,2581;2580;2579;2578;2577;2576,no_acceptable_reverse_candidate,,,,,,,,,
2581,RBHD,2594,2580;2579;2578;2577;2576;2575,no_acceptable_reverse_candidate,,,,,,,,,
2580,RBHD,2594,2579;2578;2577;2576;2575;2574,no_acceptable_reverse_candidate,,,,,,,,,
2579,RBHD,2594,2578;2577;2576;2575;2574;2573,no_acceptable_reverse_candidate,,,,,,,,,
2578,RBHD,2594,2577;2576;2575;2574;2573;2572,no_acceptable_reverse_candidate,,,,,,,,,
2577,RBHD,2594,2576;2575;2574;2573;2572;2571,no_acceptable_reverse_candidate,,,,,,,,,
2576,RBHD,2594,2575;2574;2573;2572;2571;2570,no_acceptable_reverse_candidate,,,,,,,,,
2575,RBHD,2594,2574;2573;2572;2571;2570;2569,no_acceptable_reverse_candidate,,,,,,,,,
2574,RBHD,2594,2573;2572;2571;2570;2569;2568,no_acceptable_reverse_candidate,,,,,,,,,
