marker,frame,gap_start,gap_end,gap_len,reason
RBHD,2595,2595,2595,1,no_candidate_passed_model
RBHD,2603,2603,2603,1,no_candidate_passed_model
CLAV,2766,2766,2766,1,no_candidate_passed_model
CLAV,2800,2800,2800,1,no_candidate_passed_model
CLAV,2841,2841,2841,1,no_candidate_passed_model
CLAV,2876,2876,2876,1,no_candidate_passed_model
C7,2598,2598,2598,1,no_candidate_passed_model
LELA,2843,2843,2843,1,no_candidate_passed_model
LFIN,2740,2740,2740,1,no_candidate_passed_model
LFIN,2744,2744,2744,1,no_candidate_passed_model
LFIN,2746,2746,2747,2,no_candidate_passed_model
LFIN,2747,2746,2747,2,no_candidate_passed_model
LFIN,2771,2771,2771,1,no_candidate_passed_model
LFIN,2802,2802,2802,1,no_candidate_passed_model
LFIN,2840,2840,2840,1,no_candidate_passed_model
LFIN,2844,2844,2844,1,no_candidate_passed_model
LFIN,2880,2880,2880,1,no_candidate_passed_model
RELA,2878,2878,2878,1,no_candidate_passed_model
RELA,2886,2886,2886,1,no_candidate_passed_model
RWRA,2627,2627,2627,1,no_candidate_passed_model
RASIS,2859,2859,2859,1,no_candidate_passed_model
LTROC,2641,2641,2641,1,no_candidate_passed_model
LTROC,2643,2643,2643,1,no_candidate_passed_model
LTROC,2679,2679,2679,1,no_candidate_passed_model
LMEP,2823,2823,2824,2,no_candidate_passed_model
LMEP,2824,2823,2824,2,no_candidate_passed_model
LLEP,2691,2691,2691,1,no_candidate_passed_model
LLEP,2693,2693,2693,1,no_candidate_passed_model
LSK,2642,2642,2643,2,no_candidate_passed_model
LSK,2643,2642,2643,2,no_candidate_passed_model
LSK,2654,2654,2654,1,no_candidate_passed_model
LSK,2656,2656,2656,1,no_candidate_passed_model
LSK,2680,2680,2680,1,no_candidate_passed_model
LSK,2706,2706,2706,1,no_candidate_passed_model
RMEP,2511,2511,2511,1,no_candidate_passed_model
RMEP,2771,2771,2771,1,no_candidate_passed_model
